event_name,hour,events,event_share,engagement_intensity
binom_dist_template_load,0,1,0.3333333333333333,1.31
binom_dist_template_load,1,2,0.6666666666666666,1.31
binom_page_with_excel_load,0,1,0.058823529411764705,1.02
binom_page_with_excel_load,1,2,0.11764705882352941,0.79
binom_page_with_excel_load,2,2,0.11764705882352941,0.55
binom_page_with_excel_load,3,2,0.11764705882352941,0.88
binom_page_with_excel_load,13,4,0.23529411764705882,0.91
binom_page_with_excel_load,14,1,0.058823529411764705,0.55
binom_page_with_excel_load,15,1,0.058823529411764705,0.55
binom_page_with_excel_load,16,1,0.058823529411764705,1.5
binom_page_with_excel_load,17,1,0.058823529411764705,1.15
binom_page_with_excel_load,18,1,0.058823529411764705,0.73
binom_page_with_excel_load,23,1,0.058823529411764705,0.93
calc_prob_from_conting_table,0,1,0.017241379310344827,1.47
calc_prob_from_conting_table,1,3,0.05172413793103448,1.4
calc_prob_from_conting_table,2,12,0.20689655172413793,1.34
calc_prob_from_conting_table,3,1,0.017241379310344827,0.89
calc_prob_from_conting_table,11,3,0.05172413793103448,0.99
calc_prob_from_conting_table,13,7,0.1206896551724138,1.18
calc_prob_from_conting_table,14,3,0.05172413793103448,0.56
calc_prob_from_conting_table,15,5,0.08620689655172414,1.06
calc_prob_from_conting_table,16,3,0.05172413793103448,0.77
calc_prob_from_conting_table,17,7,0.1206896551724138,1.38
calc_prob_from_conting_table,18,6,0.10344827586206896,0.56
calc_prob_from_conting_table,21,2,0.034482758620689655,1.18
calc_prob_from_conting_table,22,5,0.08620689655172414,1.37
change_experiment,1,2,1.0,0.73
first_visit,1,3,0.061224489795918366,1.4
first_visit,2,1,0.02040816326530612,1.37
first_visit,3,1,0.02040816326530612,0.52
first_visit,7,1,0.02040816326530612,1.21
first_visit,10,1,0.02040816326530612,0.5
first_visit,11,1,0.02040816326530612,1.0
first_visit,12,2,0.04081632653061224,0.94
first_visit,13,6,0.12244897959183673,0.7
first_visit,14,11,0.22448979591836735,0.82
first_visit,15,4,0.08163265306122448,1.31
first_visit,16,3,0.061224489795918366,0.82
first_visit,17,7,0.14285714285714285,0.65
first_visit,18,4,0.08163265306122448,1.2
first_visit,19,2,0.04081632653061224,0.95
first_visit,21,1,0.02040816326530612,1.3
first_visit,23,1,0.02040816326530612,0.74
form_start,1,3,0.25,0.82
form_start,12,4,0.3333333333333333,1.3
form_start,18,3,0.25,1.01
form_start,21,2,0.16666666666666666,1.01
login_attempt,1,1,0.2,0.74
login_attempt,12,2,0.4,0.51
login_attempt,18,1,0.2,1.43
login_attempt,21,1,0.2,0.59
manual_basic_prob_trial,11,23,0.41818181818181815,1.34
manual_basic_prob_trial,12,1,0.01818181818181818,0.87
manual_basic_prob_trial,13,12,0.21818181818181817,1.45
manual_basic_prob_trial,14,4,0.07272727272727272,0.9
manual_basic_prob_trial,17,9,0.16363636363636364,1.44
manual_basic_prob_trial,21,5,0.09090909090909091,1.06
manual_basic_prob_trial,22,1,0.01818181818181818,0.74
page_view,0,45,0.06147540983606557,1.24
page_view,1,70,0.09562841530054644,1.17
page_view,2,93,0.12704918032786885,1.18
page_view,3,37,0.050546448087431695,0.96
page_view,4,2,0.00273224043715847,0.72
page_view,7,1,0.001366120218579235,1.14
page_view,10,4,0.00546448087431694,0.61
page_view,11,12,0.01639344262295082,1.19
page_view,12,14,0.01912568306010929,1.14
page_view,13,72,0.09836065573770492,0.88
page_view,14,80,0.1092896174863388,1.3
page_view,15,32,0.04371584699453552,0.69
page_view,16,28,0.03825136612021858,0.89
page_view,17,60,0.08196721311475409,1.3
page_view,18,77,0.1051912568306011,0.88
page_view,19,5,0.006830601092896175,1.21
page_view,20,12,0.01639344262295082,1.11
page_view,21,36,0.04918032786885246,1.44
page_view,22,34,0.04644808743169399,1.49
page_view,23,18,0.02459016393442623,1.22
preset_change_from_conting_table,0,1,0.02857142857142857,1.31
preset_change_from_conting_table,1,2,0.05714285714285714,0.65
preset_change_from_conting_table,2,7,0.2,1.21
preset_change_from_conting_table,3,3,0.08571428571428572,1.35
preset_change_from_conting_table,11,2,0.05714285714285714,0.9
preset_change_from_conting_table,13,3,0.08571428571428572,1.05
preset_change_from_conting_table,14,1,0.02857142857142857,0.98
preset_change_from_conting_table,15,2,0.05714285714285714,1.46
preset_change_from_conting_table,16,3,0.08571428571428572,0.82
preset_change_from_conting_table,17,4,0.11428571428571428,0.9
preset_change_from_conting_table,18,2,0.05714285714285714,0.5
preset_change_from_conting_table,21,2,0.05714285714285714,0.92
preset_change_from_conting_table,22,3,0.08571428571428572,1.13
run_full_simulation,1,1,0.5,1.43
run_full_simulation,17,1,0.5,1.42
run_simulation_lln,13,10,0.45454545454545453,0.83
run_simulation_lln,14,4,0.18181818181818182,1.49
run_simulation_lln,15,1,0.045454545454545456,0.69
run_simulation_lln,17,7,0.3181818181818182,1.32
run_single_trial,17,2,0.5,0.66
run_single_trial,18,2,0.5,0.91
scroll,0,10,1.0,0.57
